Email,Fname,Lname,Birth_Date,Phone_Number,Longitude,Latitude,Remaining_Points
afairpo0@biglobe.ne.jp,Atalanta,Fairpo,28/3/2003,6949728420,-71.85849,8.34816,910
pferronier1@thetimes.co.uk,Prentiss,Ferronier,18/8/1994,6916153330,37.5852425,54.1649073,520
bblanket2@dmoz.org,Bennie,Blanket,10/9/2001,6937345730,113.83012,22.141482,530
mcoulthart3@privacy.gov.au,Morganica,Coulthart,4/11/2003,6997011911,21.9487589,49.5792067,550
sschoales4@gravatar.com,Shannon,Schoales,31/5/1980,6922557208,115.2229232,-8.6470988,430
klester5@bravesites.com,Kylynn,Lester,3/5/1995,6965793299,19.8634282,51.8370136,320
lbatchelor6@multiply.com,Lizzie,Batchelor,19/1/1987,6985703493,112.8915932,30.5211502,50
hizsak7@bing.com,Hildegarde,Izsak,9/7/1999,6973562138,13.0716999,50.4322664,580
cschutt8@wordpress.org,Cherilyn,Schutt,29/10/1987,6942439441,112.734174,38.416663,910
wperell9@google.co.jp,Whitney,Perell,22/8/1989,6901532784,113.121435,23.021478,420
smacparlanda@hc360.com,Susy,MacParland,11/3/2003,6987262136,43.4895256,43.5661719,230
rhemblingb@omniture.com,Rebecca,Hembling,31/8/2001,6997327304,118.334359,30.914922,530
egroundwaterc@about.me,Ethelin,Groundwater,17/8/1993,6917919956,110.1317822,-7.5989183,270
lcranstound@linkedin.com,Levy,Cranstoun,3/2/1990,6934499339,133.5102054,34.5107712,270
jfearne@huffingtonpost.com,Jilly,Fearn,10/11/1986,6964729018,-71.437354,-41.172184,990
cconstablef@hugedomains.com,Cindy,Constable,23/8/1993,6954894610,-6.4496384,53.3582341,860
cmayoralg@economist.com,Carmina,Mayoral,18/4/1999,6936561728,117.625696,37.77026,760
lsmidmoorh@google.ru,Louise,Smidmoor,10/3/1988,6958032155,104.2308774,23.3747635,240
dtrevertoni@seattletimes.com,Demetria,Treverton,12/10/1982,6999600533,110.0196561,-7.1066698,710
dhillbornej@java.com,Duncan,Hillborne,8/6/1993,6922938583,114.740557,40.766965,310
gvittek@rambler.ru,Gustav,Vitte,6/8/2001,6991386640,121.003315,14.4437285,640
jgraeserl@umn.edu,Jeddy,Graeser,3/9/1990,6961401574,-43.3619983,-4.8654138,300
tnorthridgem@blogger.com,Thornton,Northridge,23/3/1981,6993499655,25.8107681,-24.5551012,290
shatwellsn@engadget.com,Sukey,Hatwells,23/6/1994,6950045959,123.1548332,-8.2837661,290
jbarwoodo@nbcnews.com,Joni,Barwood,20/4/1992,6924301281,-7.7655701,53.5650926,760
mkachp@blinklist.com,Mozes,Kach,1/3/1996,6983874570,135.0394338,48.5393826,240
pvendittiq@slideshare.net,Phaidra,Venditti,5/7/1986,6927072171,36.164764,47.6479788,840
