Ssn,Fname,Lname,Email,Birth_Date,Phone_Number,Longitude,Latitude,Role,Hours,Super_Ssn,GS_Longitude,GS_Latitude
279-18-7991,Grazia,Hatch,ghatch0@yandex.ru,10/12/1991,6969338377,39.386508,22.771784,Mechanic,72,482-99-8564,38.2019,21.428285
235-28-0699,Clari,Waberer,cwaberer1@kickstarter.com,31/12/1998,6939860115,36.48684,21.873934,Mechanic,35,244-85-2321,38.262807,22.778594
523-61-0991,Gwendolyn,Philcox,gphilcox2@ca.gov,27/11/1998,6972243779,38.17376,21.11909,Mechanic,89,873-02-8893,38.682971,22.038279
303-01-1572,Hope,Braz,hbraz3@facebook.com,31/3/1993,6969576805,39.421047,21.793675,Mechanic,97,109-51-6553,37.942487,21.152171
235-57-9425,Aurlie,Cordall,acordall4@eepurl.com,13/12/2001,6942124171,36.189663,22.37263,Mechanic,89,257-71-7733,37.988127,22.115035
891-02-1357,Seline,Clowton,sclowton5@youku.com,24/5/2001,6992101447,36.357997,21.684816,Mechanic,66,482-99-8564,37.793219,22.508819
503-46-6833,Wheeler,de Keyser,wdekeyser6@weebly.com,2/5/1992,6932917887,38.377306,22.619616,Mechanic,61,331-45-1900,36.655448,22.759316
194-25-7899,Jard,Whybrow,jwhybrow7@scribd.com,22/12/1997,6994277744,37.700002,22.698763,Mechanic,14,838-76-5545,38.007562,21.225408
386-62-3510,Christoforo,Tilliards,ctilliards8@umn.edu,14/1/2000,6934570494,37.848448,21.085874,Mechanic,91,631-65-1970,37.066891,21.200989
705-96-0920,Stanislaw,Hentzer,shentzer9@nba.com,12/3/1994,6974801198,38.772428,22.236947,Mechanic,27,873-02-8893,37.496027,22.908386
450-95-8498,Eula,Neely,eneelya@lulu.com,8/7/2002,6937413868,38.96865,21.682995,Mechanic,38,660-93-4278,36.776168,22.201528
318-60-5593,Richmound,Oakenfull,roakenfullb@nyu.edu,11/4/1992,6936834971,38.388722,21.282996,Mechanic,84,311-27-8636,39.532177,22.166377
179-86-1128,Perri,Gillis,pgillisc@yahoo.co.jp,8/5/1991,6937458974,38.083745,22.50731,Mechanic,21,873-02-8893,36.02151,22.480999
448-65-9758,Jeremie,Proom,jproomd@pinterest.com,29/9/2000,6922900156,37.106471,21.123991,Mechanic,17,482-99-8564,39.159734,22.717787
842-33-7983,Job,Saward,jsawarde@home.pl,29/5/1994,6927153840,39.839398,21.350538,Mechanic,15,544-96-8239,38.681253,22.826654
771-70-9427,Hammad,Redish,hredishf@theatlantic.com,8/8/1997,6913687882,38.248456,21.060609,Mechanic,10,538-60-9947,36.190598,22.952309
