Longitude,Latitude,Type_of_Service,Start_Date,Minimarket,Mgr_Ssn
38.2019,21.428285,Self Service,28/01/22,0,117-15-9866
38.262807,22.778594,Full Service,21/01/22,0,311-27-8636
38.682971,22.038279,Self Service,12/01/22,1,867-19-4487
37.942487,21.152171,Full Service,09/01/22,1,257-71-7733
37.988127,22.115035,Self Service,01/01/22,1,534-45-7901
37.793219,22.508819,Full Service,10/01/22,1,550-47-6199
36.655448,22.759316,Self Service,09/01/22,1,329-56-2930
38.007562,21.225408,Self Service,13/01/22,1,109-51-6553
37.066891,21.200989,Self Service,22/01/22,1,803-69-9886
37.496027,22.908386,Self Service,02/01/22,0,377-21-7150
36.776168,22.201528,Self Service,13/01/22,0,470-57-7121
39.532177,22.166377,Full Service,06/01/22,0,765-37-7380
36.02151,22.480999,Full Service,18/01/22,0,713-31-6727
39.159734,22.717787,Full Service,26/01/22,1,259-97-5795
38.681253,22.826654,Self Service,18/01/22,1,631-65-1970
36.190598,22.952309,Full Service,17/01/22,1,505-84-5567
39.243902,21.819605,Self Service,27/01/22,1,331-45-1900
39.62454,21.555351,Full Service,14/01/22,1,244-85-2321
39.362558,22.372545,Full Service,19/01/22,1,735-21-9436
38.987,22.57105,Self Service,16/01/22,0,873-02-8893
37.887318,22.785831,Full Service,05/01/22,0,348-89-1717
39.877714,21.358061,Full Service,23/01/22,1,511-24-6997
36.822306,21.744172,Self Service,14/01/22,0,702-57-1309
37.958652,22.670532,Full Service,24/01/22,1,546-39-6338
37.278692,21.092014,Self Service,08/01/22,1,605-94-3821
39.087018,22.459516,Full Service,12/01/22,0,482-99-8564
37.183855,21.434547,Self Service,10/01/22,0,660-93-4278
37.40737,22.022397,Full Service,20/01/22,0,644-33-6437
39.559869,21.073529,Full Service,15/01/22,0,508-23-8527
39.42864,21.391072,Full Service,02/01/22,1,388-87-2614
36.878025,22.721308,Full Service,10/01/22,0,603-55-3533
38.084575,22.01898,Self Service,22/01/22,1,652-09-0879
39.778374,22.116495,Full Service,09/01/22,1,791-36-5885
38.153323,22.51488,Full Service,25/01/22,0,706-27-1840
36.182171,21.035169,Full Service,29/01/22,0,358-01-9585
38.614483,22.711832,Full Service,08/01/22,1,323-49-2911
39.917906,22.189849,Full Service,23/01/22,0,875-96-5877
38.263947,22.4074,Full Service,28/01/22,0,574-16-3452
39.523325,22.588122,Full Service,25/01/22,1,544-96-8239
38.82109,21.136778,Full Service,15/01/22,1,751-55-4288
36.135136,22.066818,Self Service,01/01/22,0,838-76-5545
38.551598,21.209075,Self Service,24/01/22,1,223-18-0765
36.134797,21.639669,Full Service,04/01/22,0,647-21-0457
37.38102,22.021288,Full Service,19/01/22,0,574-48-2241
39.248553,21.902334,Self Service,19/01/22,0,435-03-5922
38.815164,22.113392,Full Service,11/01/22,0,370-33-5869
39.537578,22.594296,Self Service,08/01/22,1,467-37-0421
39.264855,21.420545,Full Service,19/01/22,0,538-60-9947
36.316855,22.214117,Self Service,09/01/22,0,602-48-8619
36.413642,22.802954,Full Service,06/01/22,0,571-93-4844
