ID,Purchase_Date,Type_of_Payment,Cus_Email,GS_Longitude,GS_Latitude,Pump_ID,Tank_ID
1,31/10/22,Cash,,38.2019,21.428285,1.0,1.0
2,01/04/22,Cash,adannatt6t@hud.gov,38.262807,22.778594,1.0,1.0
3,09/07/22,Debit Card,,38.682971,22.038279,1.0,1.0
4,26/06/22,Credit Card,rbeesoy@ucsd.edu,37.942487,21.152171,1.0,1.0
5,11/05/22,Debit Card,lsetter8m@printfriendly.com,37.988127,22.115035,1.0,1.0
6,17/05/22,Cash,osoaper2i@cyberchimps.com,37.793219,22.508819,1.0,1.0
7,06/01/22,Debit Card,nionnisian3f@oakley.com,36.655448,22.759316,1.0,1.0
8,13/05/22,Debit Card,rtouseyns@prlog.org,38.007562,21.225408,1.0,1.0
9,13/07/22,Credit Card,alubecv@shutterfly.com,37.066891,21.200989,1.0,1.0
10,29/10/22,Credit Card,csheekeyr1@stumbleupon.com,37.496027,22.908386,1.0,1.0
11,31/03/22,Cash,scogglesjw@nytimes.com,36.776168,22.201528,1.0,1.0
12,14/10/22,Cash,,39.532177,22.166377,1.0,1.0
13,26/01/22,Cash,nniblett77@1688.com,36.02151,22.480999,1.0,1.0
14,30/10/22,Cash,ktommenn6@cyberchimps.com,39.159734,22.717787,1.0,1.0
15,11/10/22,Credit Card,rtheurernj@census.gov,38.681253,22.826654,1.0,1.0
16,12/06/22,Debit Card,,36.190598,22.952309,1.0,1.0
17,09/10/22,Debit Card,iboall7@go.com,39.243902,21.819605,1.0,1.0
18,25/04/22,Credit Card,,39.62454,21.555351,1.0,1.0
19,06/02/22,Debit Card,sconenro@altervista.org,39.362558,22.372545,1.0,1.0
20,11/07/22,Credit Card,griccettijh@pcworld.com,38.987,22.57105,1.0,1.0
21,23/03/22,Cash,dtrimmell75@oaic.gov.au,37.887318,22.785831,1.0,1.0
22,30/06/22,Debit Card,bballinghallhr@dell.com,39.877714,21.358061,1.0,1.0
23,16/11/22,Credit Card,,36.822306,21.744172,1.0,1.0
24,14/06/22,Debit Card,,37.958652,22.670532,1.0,1.0
25,23/08/22,Debit Card,gshirlandcu@com.com,37.278692,21.092014,1.0,1.0
26,20/10/22,Credit Card,rmuncie93@bing.com,39.087018,22.459516,1.0,1.0
27,17/10/22,Cash,sjaggersls@hp.com,37.183855,21.434547,1.0,1.0
28,21/10/22,Cash,dgilleond9@economist.com,37.40737,22.022397,1.0,1.0
29,12/08/22,Debit Card,rleydoncy@mlb.com,39.559869,21.073529,1.0,1.0
30,31/07/22,Debit Card,rnorkett1z@admin.ch,39.42864,21.391072,1.0,1.0
31,16/10/22,Debit Card,ddjordjevicek@indiegogo.com,36.878025,22.721308,1.0,1.0
32,09/04/22,Debit Card,nriepl20@51.la,38.084575,22.01898,1.0,1.0
33,15/12/22,Credit Card,,39.778374,22.116495,1.0,1.0
34,19/05/22,Debit Card,dtarten3@printfriendly.com,38.153323,22.51488,1.0,1.0
35,13/03/22,Credit Card,csheekeyr1@stumbleupon.com,36.182171,21.035169,1.0,1.0
36,10/11/22,Cash,kpiatti7g@fastcompany.com,38.614483,22.711832,1.0,1.0
37,22/05/22,Cash,gvittek@rambler.ru,39.917906,22.189849,1.0,1.0
38,23/11/22,Credit Card,lvanyakinkc@microsoft.com,38.263947,22.4074,1.0,1.0
39,09/10/22,Debit Card,fgeerekg@nature.com,39.523325,22.588122,1.0,1.0
40,16/07/22,Debit Card,vrilston9u@comsenz.com,38.82109,21.136778,1.0,1.0
41,30/07/22,Credit Card,,36.135136,22.066818,1.0,1.0
42,24/02/22,Cash,jyanovfa@cocolog-nifty.com,38.551598,21.209075,1.0,1.0
43,21/02/22,Debit Card,amiddleton89@toplist.cz,36.134797,21.639669,1.0,1.0
44,15/07/22,Credit Card,dgilleond9@economist.com,37.38102,22.021288,1.0,1.0
45,29/01/22,Credit Card,dhealygr@reuters.com,39.248553,21.902334,1.0,1.0
46,09/08/22,Credit Card,jfinlaisonbw@myspace.com,38.815164,22.113392,1.0,1.0
47,22/12/22,Cash,ebergenpv@hc360.com,39.537578,22.594296,1.0,1.0
48,27/11/22,Credit Card,,39.264855,21.420545,1.0,1.0
49,04/01/22,Debit Card,,36.316855,22.214117,1.0,1.0
50,14/07/22,Debit Card,kpiatti7g@fastcompany.com,36.413642,22.802954,1.0,1.0
51,05/07/22,Credit Card,,38.2019,21.428285,,
52,07/03/22,Debit Card,ebayntonkm@sciencedirect.com,38.262807,22.778594,,
53,10/12/22,Cash,lmcguffk0@wp.com,38.682971,22.038279,,
54,01/02/22,Debit Card,rkoene4r@cnet.com,37.942487,21.152171,,
55,03/07/22,Credit Card,hizsak7@bing.com,37.988127,22.115035,,
56,17/12/22,Credit Card,dconstancecb@trellian.com,37.793219,22.508819,,
57,01/01/22,Debit Card,bnormanvilled7@edublogs.org,36.655448,22.759316,,
58,27/01/22,Debit Card,tschultz62@cloudflare.com,38.007562,21.225408,,
59,16/03/22,Credit Card,mphilsonov@noaa.gov,37.066891,21.200989,,
60,06/12/22,Cash,mbarajazqo@china.com.cn,37.496027,22.908386,,
61,20/06/22,Debit Card,pjennensl4@loc.gov,36.776168,22.201528,,
62,06/05/22,Cash,njayegm@so-net.ne.jp,39.532177,22.166377,,
63,09/10/22,Credit Card,jheatleykh@sciencedaily.com,36.02151,22.480999,,
64,03/04/22,Debit Card,slysaght98@oracle.com,39.159734,22.717787,,
65,16/03/22,Cash,abrymhamfz@nyu.edu,38.681253,22.826654,,
66,17/08/22,Credit Card,cpalleqn@dailymail.co.uk,36.190598,22.952309,,
67,25/02/22,Debit Card,,39.243902,21.819605,,
68,13/05/22,Credit Card,jgiblina0@sciencedirect.com,39.62454,21.555351,,
69,15/01/22,Cash,rbeesoy@ucsd.edu,39.362558,22.372545,,
70,31/08/22,Credit Card,oaubrio5@godaddy.com,38.987,22.57105,,
71,20/03/22,Debit Card,fhanniganlo@intel.com,37.887318,22.785831,,
72,30/10/22,Debit Card,lpiotraa@ucla.edu,39.877714,21.358061,,
73,23/08/22,Credit Card,bseathwright33@loc.gov,36.822306,21.744172,,
74,24/07/22,Debit Card,,37.958652,22.670532,,
75,01/03/22,Credit Card,,37.278692,21.092014,,
76,03/01/22,Credit Card,khoolaghan78@amazon.co.jp,39.087018,22.459516,,
77,04/08/22,Debit Card,,37.183855,21.434547,,
78,02/11/22,Debit Card,cdondonk9@mac.com,37.40737,22.022397,,
79,28/09/22,Cash,,39.559869,21.073529,,
80,17/06/22,Debit Card,mcayet35@soup.io,39.42864,21.391072,,
81,25/09/22,Debit Card,,36.878025,22.721308,,
82,31/08/22,Debit Card,lzoppog5@ihg.com,38.084575,22.01898,,
83,21/03/22,Debit Card,vblackeybd@tripod.com,39.778374,22.116495,,
84,26/02/22,Debit Card,fdolr@drupal.org,38.153323,22.51488,,
85,09/04/22,Debit Card,cskillql@seattletimes.com,36.182171,21.035169,,
86,21/04/22,Credit Card,jfinlaisonbw@myspace.com,38.614483,22.711832,,
87,24/03/22,Debit Card,wtoplissih@home.pl,39.917906,22.189849,,
88,16/10/22,Credit Card,,38.263947,22.4074,,
89,14/09/22,Cash,cwalducka2@chronoengine.com,39.523325,22.588122,,
